id;action_name;status;actions;action_taken_by_ref;category;subcategory;idle_time;idle_time_measure_type;comment;closure_status
1;Accounts navigate;overriding Global;Handmade Plastic Fish Ohio;3953;human-resource context-sensitive Guatemala;Cambridgeshire deposit;53640;hard drive metrics;card;Borders Car transmitting
2;Car;Gloves Malaysia metrics;Unbranded Frozen Pizza;11275;emulation;payment;92487;Facilitator;open-source PNG;Shoes
3;XSS Plains Pakistan;archive Dynamic;Vermont Rubber overriding;15574;solution Handcrafted Metal Cheese;action-items;13478;compressing Licensed Granite Cheese transmitting;Investor Indiana Practical Plastic Gloves;Pre-emptive Keyboard
4;generate local;Denar Baby;Investment Account Accounts;35140;Senior Assistant;Pula driver;13882;Industrial Burkina Faso definition;Concrete Communications Monitored;transition Trail
5;generate Tunisia workforce;Savings Account Concrete;Forks Pa'anga;55004;navigating Salad;Fresh;43911;Shoes;Avon Architect;unleash payment red
6;indexing;distributed application Cotton;neutral Berkshire;65657;Officer Markets structure;Delaware Trail;70954;Exclusive;Soft Valleys Generic Plastic Computer;driver end-to-end
7;scale;Sports Uzbekistan Sum Bedfordshire;intangible;71969;systems;South Carolina Avon;88829;Bedfordshire;RAM magnetic attitude;Synergistic Saint Helena
8;efficient;value-added context-sensitive Soap;black Path EXE;38580;extensible navigate;matrix radical;75120;Vision-oriented;radical capacitor;Personal Loan Account
9;program;Beauty Convertible Marks;Interactions optimal bypassing;5526;Consultant;Investment Account Tuna;33720;Fully-configurable cutting-edge Designer;Developer;Rubber
10;Small Metal Salad azure;Louisiana port;Data;42289;El Salvador Colon US Dollar Computer;cross-platform Walk;78119;mobile;pixel definition Licensed Metal Bacon;West Virginia Armenia
