id;type_of_schedule;start_date_time;end_date_time;shift_type;status;schedule_date;schedule_start_time;schedule_end_time
1;SDD Principal Implementation;2020-09-01T17:45:43;2020-09-01T10:03:46;open-source;Customer Algerian Dinar;2020-09-01T21:51:19;40660;53144
2;Fresh;2020-09-01T11:13:29;2020-09-01T14:57:43;Saudi Arabia;Intelligent;2020-09-02T02:40:23;52333;41714
3;firewall;2020-09-02T02:04:47;2020-09-01T09:20:01;Regional;Avon HTTP;2020-09-01T21:16:08;18356;93613
4;Ukraine;2020-09-01T16:47:45;2020-09-01T17:43:00;schemas Frozen;Auto Loan Account;2020-09-02T06:26:42;81463;83669
5;quantifying Fantastic hub;2020-09-01T18:44:06;2020-09-01T09:44:51;scale connect Usability;Refined Plastic Ball;2020-09-02T06:14:02;70998;32601
6;copy Future deposit;2020-09-02T01:14:26;2020-09-01T14:43:47;Handcrafted Metal Chips;calculating;2020-09-02T07:55:19;76325;69153
7;navigating Dominican Peso Wallis and Futuna;2020-09-01T23:26:52;2020-09-01T10:14:00;Configurable Station virtual;mission-critical;2020-09-01T16:24:16;35123;97487
8;Ouguiya invoice;2020-09-01T16:11:11;2020-09-01T11:28:54;pink Intuitive Sleek;generate Planner;2020-09-02T04:04:13;20468;4509
9;Handmade;2020-09-01T13:31:10;2020-09-02T00:44:51;Unions;Games;2020-09-01T12:47:26;41111;54963
10;Nakfa Applications maximize;2020-09-01T13:18:40;2020-09-01T17:55:21;Avon SAS Bedfordshire;Proactive Baby;2020-09-02T03:24:26;38740;47539
